0000000098733240,24061403,06/18/2024
00000000c997195d,210501,06/18/2024
1000000000862add,090123001,02/12/2024
1000000000eb7857,110923018,02/09/2024
10000000011e44c9,020924013,04/27/2024
1000000001b7dda6,022124028,05/03/2024
1000000002b88c87,110923053,06/20/2024
1000000002be265d,110923026,01/26/2024
10000000033896e0,240514S002,06/21/2024
1000000003676bf1, 1031230012,12/22/2023
10000000037c5199,100223016,12/27/2023
1000000003a42eec,112723003,03/01/2024
100000000414ba40,110923001,05/30/2024
1000000004556abd,101223006,12/15/2023
1000000004a31bc4,081723001,12/15/2023
1000000004ae040a,081123006,12/15/2023
1000000004dbe11b,020924034,05/03/2024
1000000005ab8a1b,022124005,05/22/2024
1000000006c62527,010124026,05/28/2024
10000000079923aa,081123013,12/15/2023
1000000007b9d667,020924024,05/02/2024
1000000007d0bd77,081123014,12/15/2023
1000000007d595e3,101223022,12/15/2023
1000000009456e4f,020924046,05/20/2024
1000000009cdd1f3,010124030,05/03/2024
100000000a13a5a7,110923025,12/15/2023
100000000a6eda6e,020924011,04/25/2024
100000000ab5428e,081123001,12/15/2023
100000000ad26e09,112723023,03/01/2024
100000000bcb8481,110923004,02/09/2024
100000000d743e66, 1016230002,12/15/2023
100000000e70884b,110923017,01/02/2024
100000000f9764ff,120723005,05/01/2024
100000000ff48952,101223008,01/12/2024
1000000010fdd184,020924037,05/01/2024
10000000118e29bf,010124003,05/28/2024
100000001191fd5d,020924042,05/02/2024
1000000011929e0e,022124035,04/27/2024
1000000011b6816c,080423004,12/15/2023
1000000011d0f114,032024054,06/12/2024
100000001285652f,081123010,12/15/2023
1000000012c21fc0,090123011,12/15/2023
1000000012c9ec30,110923015,03/01/2024
1000000012ee8d06,020924039,04/27/2024
100000001384452b,081123016,12/15/2023
1000000014036095,100223013,12/21/2023
100000001440076e,110923022,01/22/2024
100000001467243c,110923051,05/21/2024
10000000152a00f3,022124003,06/04/2024
10000000153c531f,120723034,04/15/2024
1000000015a2205b,032024073,05/24/2024
100000001668706c,112723001,02/28/2024
1000000016861cc7,032024026,06/20/2024
1000000016cb6dc0,100223050,12/15/2023
1000000016d4f202,020924004,05/20/2024
1000000016e97e49,110923061,01/02/2024
1000000016f0fca9, 1017230010,12/15/2023
1000000018ea06d9, 1016230003,12/15/2023
10000000192bd588,100223043,12/15/2023
1000000019327ac7,022124029,05/13/2024
1000000019ec0d94,110923079,02/23/2024
100000001a361965,111423003,12/15/2023
100000001a8c70c0,110923003,12/15/2023
100000001a9c603a,032024016,06/20/2024
100000001b193c43,082023046,03/01/2024
100000001d12782f,101223014,12/19/2023
100000001de9654f,032024020,06/20/2024
100000001edb2697,032024006,05/22/2024
100000001f2c52ff,100223006,12/15/2023
100000001f5ac62b,032024055,06/20/2024
100000001f9c5d1e,110923001,02/28/2024
100000001fbadd4b,032024030,05/22/2024
10000000200fea15,111423004,12/15/2023
10000000201b6986,112723017,03/19/2024
10000000205b92d1,101223011,12/19/2023
10000000205f94ab,100223033,12/15/2023
1000000020b2a554,100223042,12/15/2023
1000000020cb2924,010124014,05/02/2024
1000000020cddc39,240514S014,06/21/2024
1000000020f50b8d,111423026,05/17/2024
1000000022701d04,100223046,01/30/2024
1000000022769985,100223003,12/20/2023
1000000022a46617,090123024,12/15/2023
10000000232852c1,032024017,06/20/2024
10000000237d6e03,102023007,03/01/2024
100000002386b740,022124030,05/22/2024
1000000023abd0cf,010124006,05/03/2024
1000000023b635a4,090123018,12/15/2023
1000000024386e3d,102023007,03/01/2024
10000000256932dd,120723056,03/20/2024
1000000026940853, 1031230018,12/15/2023
10000000276507fc,032024019,06/20/2024
100000002863375a, 072823002,12/15/2023
10000000287b7ee4,110923074,03/26/2024
1000000028d48d94,020924021,04/29/2024
10000000290f70de,020924020,05/01/2024
1000000029bc0805,101223027,12/27/2023
1000000029e919d8,110923090,01/26/2024
100000002a2022bd,022124042,05/22/2024
100000002a3df819,100223031,12/15/2023
100000002a5fbc78,032024007,05/24/2024
100000002a741bec,032024076,05/24/2024
100000002ada8f46,032024029,05/22/2024
100000002af7d049,020924033,05/13/2024
100000002b694fb4,110923097,02/23/2024
100000002b6d22ae,110923044,02/12/2024
100000002c53695d, 1031230005,12/20/2023
100000002c68c8e6,081123011,12/15/2023
100000002cc960b2,020924029,04/27/2024
100000002ce70c84,110923027,04/12/2024
100000002d01aaa3,022124058,05/22/2024
100000002d209f22,090123023,12/15/2023
100000002daa4569,120723010,02/28/2024
100000002e5fc83f,112723012,03/01/2024
100000002e737cc0,022124056,05/03/2024
100000002ed4107f,022124039,06/20/2024
100000002f304864, 1017230004,12/15/2023
100000003046d823,081123007,12/15/2023
10000000307d5d15,111423006,01/12/2024
100000003095db16,081123020,12/15/2023
1000000030c01b23,240514S036,06/21/2024
1000000031672135,110923043,02/23/2024
1000000031bae28b,240514S013,06/21/2024
1000000031d08352,240514S001,06/21/2024
10000000329ce5ce,101223004,12/15/2023
1000000032a1d5f1,081123019,12/15/2023
10000000336b8149,101223019,03/22/2024
10000000336d79f2,none,12/15/2023
1000000033e50e30,120723009,03/21/2024
1000000034bf2703,101223034,05/17/2024
1000000034e61562, 1016230005,12/15/2023
1000000034f10f7d,022124055,05/03/2024
1000000035689137,081123025,12/15/2023
100000003578709b,020924040,04/25/2024
10000000360fd3ae,112723022,03/20/2024
100000003611e8d4,100223011,01/29/2024
1000000036803540,010124004,05/13/2024
1000000036b725aa,100223035,12/15/2023
10000000376d9e25,032024053,06/12/2024
1000000037ceebc6, 092923001,12/15/2023
10000000382ffbce,120723011,02/28/2024
1000000038cb9742,100223036,12/15/2023
1000000038f12e07,110923035,05/20/2024
1000000038f4e9bc,032024061,06/20/2024
10000000391f5111,101223035,02/08/2024
10000000395dfe8e, 1017230007,12/15/2023
1000000039fb05d6,090123003,02/08/2024
100000003a04480f,020924045,05/01/2024
100000003b665c0b,020924050,05/20/2024
100000003b69bb32,032024005,06/20/2024
100000003bdde3c3,101223030,12/19/2023
100000003bffdcb8,100223038,12/15/2023
100000003c5ccef7,120723027,03/21/2024
100000003cf2bf7c,111423005,12/15/2023
100000003dcccdac,110923063,02/08/2024
100000003e046977,110923064,03/01/2024
